V1 V2
GO:0034329 9.17320120784623e-05
GO:0030879 9.2731600041582e-05
GO:0043405 9.59608528252259e-05
GO:0003206 9.93299979298501e-05
GO:0045785 9.93299979298501e-05
GO:0048568 9.93299979298501e-05
GO:0048814 0.000103341323241602
GO:0060485 0.000105913010257009
GO:0099175 0.000105913010257009
GO:0034330 0.000105913010257009
GO:0021954 0.000108947337414732
GO:0048638 0.000109512150912767
GO:0035148 0.000109512150912767
GO:0003231 0.00011135466353238
GO:0003007 0.00011135466353238
GO:0099173 0.00011135466353238
GO:0022029 0.000114177053321791
GO:0060412 0.000114177053321791
GO:0042310 0.000155073270178953
GO:0046578 0.000164331771447033
GO:0060562 0.000164331771447033
GO:0030282 0.000164331771447033
GO:0010770 0.00016590236670968
GO:0051966 0.000178026781969601
GO:0050803 0.000179932205018105
GO:0051961 0.000184896206818276
GO:0050768 0.000189483352771215
GO:0030033 0.000195887173213539
GO:0045665 0.000243096486617791
GO:2000027 0.000255970475061731
GO:0021543 0.000290906380345338
GO:0048675 0.000361127568893703
GO:0003151 0.000366928856413168
GO:0048863 0.000473713541639227
GO:0001890 0.00049163535161154
GO:0046677 0.000513968030656882
GO:0048736 0.000513968030656882
GO:0060173 0.000513968030656882
GO:0097756 0.000570705343017605
GO:0001558 0.00059487343004509
GO:0048762 0.000598074591188403
GO:0034332 0.000602018036469723
GO:0050673 0.000654964649674229
GO:0003018 0.000675428828356951
GO:0009896 0.000789247776311975
GO:0021536 0.000792869725010813
GO:0042176 0.000799140564220442
GO:0070997 0.000845636627842752
GO:0007585 0.000881849915232264
GO:0035107 0.000898042988219561
GO:0035108 0.000898042988219561
GO:0021795 0.000899798245911461
GO:0007266 0.00100988153853979
GO:0030278 0.00100988153853979
GO:0002064 0.00100988153853979
GO:0021756 0.00100988153853979
GO:0010810 0.00100988153853979
GO:0090287 0.00101563042987157
GO:0006470 0.00101783965417896
GO:0000186 0.00106646008322854
GO:0070167 0.00110582818313461
GO:0038127 0.00113802930462262
GO:0070169 0.00120672857456036
GO:0021761 0.00125072913501788
GO:0001838 0.00131024352871538
GO:0031098 0.00131024352871538
GO:0045927 0.00137451805070609
GO:0106027 0.00141455943269618
GO:0072175 0.0014284382258041
GO:0044706 0.00147070043601833
GO:0009612 0.00147070043601833
GO:0045732 0.00147070043601833
GO:0035023 0.00152096401679729
GO:0021544 0.00157001880875716
GO:0048545 0.00171534153247444
GO:0018209 0.00176044962081123
GO:0022407 0.00188721156625529
GO:0048639 0.00189885389811753
GO:0030501 0.00189885389811753
